s,o,h,l,c,v,date,psar,PosDI,NegDI,ADX
,162.37,162.37,162.37,162.37,0.0,1998-08-05,160.36463007999998,65.72916416897391,34.27083583102609,26.56229456937283
,163.76,163.76,163.76,163.76,0.0,1998-08-06,160.5250596736,82.65615779757155,17.343842202428448,34.31229877452689
,164.25,164.25,164.25,164.25,0.0,1998-08-10,160.84855370624,85.75622748136847,14.243772518631523,41.7523300121689
,164.77,164.77,164.77,164.77,0.0,1998-08-11,161.25672726149122,88.48621943659555,11.513780563404435,48.79635178437334
,165.43,165.43,165.43,165.43,0.0,1998-08-12,161.74858544488245,91.17095100701789,8.8290489929821,55.50546183030583
,166.02,166.02,166.02,166.02,0.0,1998-08-13,162.33761177370127,92.99590872817778,7.004091271822216,61.60273295551578
,166.28,166.28,166.28,166.28,0.0,1998-08-17,163.00044165443504,93.71187327240081,6.28812672759918,66.76693567337296
,165.75,165.75,165.75,165.75,0.0,1998-08-18,163.65635332354802,74.34696309375587,25.653036906244118,63.15233377620071
,166.47,166.47,166.47,166.47,0.0,1998-08-19,164.18108265883842,81.010457177868,18.989542822132005,62.92604989210777
,166.08,166.08,166.08,166.08,0.0,1998-08-20,164.63886612707074,68.89373656155928,31.106263438440724,57.898334538309925
,166.83,166.83,166.83,166.83,0.0,1998-08-23,165.00509290165658,77.12005694609942,22.87994305390058,57.16669040908771
,166.19,166.19,166.19,166.19,0.0,1998-08-24,165.37007432132526,60.15186419721024,39.84813580278977,49.79409800615426
,166.82,166.82,166.82,166.82,0.0,1998-08-25,165.66205945706022,68.64157778545996,31.358422214540045,47.29190951910739
,166.66,166.66,166.66,166.66,0.0,1998-08-26,165.89564756564818,64.29308511536533,35.70691488463467,43.55076166143205
,166.21,166.21,166.21,166.21,0.0,1998-08-27,166.08251805251854,52.58213249222378,47.417867507776236,35.873462326035146
,166.59,166.59,166.59,166.59,0.0,1998-08-30,166.21,60.22888184737619,39.77111815262382,32.79032259977859
,166.54,166.54,166.54,166.54,0.0,1998-08-31,166.21,58.672675613988645,41.32732438601136,29.70132832541833
,166.56,166.56,166.56,166.56,0.0,1998-09-01,166.334,59.199777878234585,40.80022212176542,27.4409738116285
,166.17,166.17,166.17,166.17,0.0,1998-09-02,166.83,45.16010077917394,54.83989922082607,23.888738737633226
